English,Vietnamese
"Motorbike injuries during crashing with airbus, raybike: The driver injuries during non-traffic accidents",
"Other complications after immunization, not classified elsewhere",
Motorbike injured during a 2 - 3-cc,
Optic neuropathy and optic path,
- severe vulvar dysplasia of unidentified vulvar (N90.2),
Rheumatoid arthritis with associated organs,
Wearing the opposite's clothing primarily to achieve sexual arousal and to create the external appearance of an individual of the opposite's sexual sexual sexual sexual sexual sexual sexual sexuality in which it is different from transgender-shaped sexuality in which it is markedly associated with sexual arousal and has a desire to exclude strong yourself once it has decreased intensity It may appe,
Toxicity mainly without medical origin,
Complications of unidentified event,
A) Cases that after all detected findings are unlikely to have a specific diagnosis;,
"+ suspected disease, excluded (Z03.-)",
Venous injuries of the dorsal,
Severe drivers are injured during crash with a walker or animals: Injured drivers in non traffic accidents,
- Systemic dystrophy associated with non-neoplastic hematopoietic leukemia (SM- AHNMD),
Osteoarthritis of femoral head in children [Legg-Calvé-Pethès],
Injury of the hip and femoral nerve,
+ kyphosis - Nonspecific or uncombined with scoliosis,
"Pirers injured when crashing a motor, half-bus, and mild motor: Pirers do not identify injured in non-traffic accidents",
People injured injuries in traffic crash between ships or vehicle passage on ray and motor (caused by traffic),
Kidney disease with morphological lesions not identified (N28.9),
Cerebral hemorrhage due to birth,
The adnexal portion of the fallopian tube or extensive ligament,
"- Vaginal intraepithelial neoplasia (VAIN), grade III with or without severe dysplasia",
"falls or motion from  motor motor, no on the ray",
Benign lipomas of skin and subcutaneous tissue in body,
Adhesion  due to inadvertently leaving foreign body in the incision or body cavity,
"Persistent and recurrent hematuria, focal and segmental glomerulonephritis",
"Vulvar endothelial neoplasia [VIN], grade I",
Fixation and adjustment of the prosthesis and other devices (Z44-Z46),
+ unspecified neonatal or neonatal syndrome,
"- Carcinoma, except in bone or tooth pathogens:",
"Fractures classified from S42.-, S52.-, S62.- and T10 of the upper extremity",
"Venous, lymphatic vessels, and lymph nodes are not classified elsewhere",
Other effects and undetermined effects of the height,
Mechanical vascular injury of unidentified body,
- The posterior (laryngeal surface) of the epiglottis,
Cystic lymphoma with or without extensive disease,
Hypoxemia of fetal in utero during labor,
"Dental loss due to accident, extraction, or localized periodontal disease",
Liver and kidney syndrome after delivery,
Deficiency of factor VIII (with decreased function),
Myocardial infarction progressing in other locations,
Lower extremity varices with ulcer,
Other neurological damage caused by zoster,
"Peripheral T-cell lymphoma, unclassified elsewhere",
Cervical mu,
"Myositis in infections that have been classified elsewhere, pelvic, and thigh",
Parkinson's syndrome in other classification,
Determine additional code if desired to determine the underlying disorder,
Drug-related cardiomyopathy,
- Serologic response positive for syphilis,
The unidentified allergic reactions differ from the drugs used correctly (T88.7),
"People who walk off offbus, mild motor vehicle injuries due to crashing with heavy motor vehicle or bus: People who walk on the injured motor vehicle in non-traffic accidents",
Damage of the skin sensory nerve at the ank and feet,
Superficial lesions caused by cold cold only at the wrist and hand (T33.5),
It is usually reserved for low weight but length above the 10th percentile of gestational age.,
"People swing animals or people on a traffically injured motor vehicle, half-bus, mild motor vehicle, heavy motor vehicle or bus vehicle",
"Nonspecific kyphosis, lumbar region",
Motorbike injuries injuries: Motorbike injuries in non traffic accidents,
Regular general health checkup for sports teams,
Postpartum care and examination,
Exposure and exposure to human immunodeficiency virus (HIV),
Injury of the 3 bánh motor motor injured during contact with the walkers or animals,
+ Mucinous colitis F54 and K58.,
Stone in bladder diverticulum (N21.0),
"Workers, mild motor vehicle injuries due to vehicle crashes, raybike: Workers outside the injured motor vehicle in non-traffic accidents",
Eye and adnexal diseases after surgery without other classification,
- Low-grade prostate dysplasia (N42.3),
Severe drivers injuries during crashing with heavy drivers or bus: Injured drivers in non traffic accidents,
Vaccination against some simple viral diseases,
Sex distribution disorder in children age (F64.2),
M09 * Children's arthritis in other classified diseases,
"+ during pregnancy, childbirth and postpartum (O24.-)",
"Advanced nephritis syndrome, disseminated intravascular proliferative glomerulonephritis",
Stenosis of the bile duct without stones,
Any condition in N73.0 determined as acute or chronic,
Other vascular lesions in the forearm,
Toxicity Other nonsteroidal anti-inflammatory drugs (NSAIDs),
Legal and war activities,
+ Combination  of other unidentified gastrointestinal organs,
"Injury due to cold with tissue necrosis of the abdominal, lower back, and pelvis",
Crômat and chromium compounds,
The 3-mm motor drivers injured in non-cross traffic accident: The drivers injured in non-cross traffic accident,
Insufficiency of the labyrinthine,
+ severe depression with psychotic symptoms,
Congenital deformity of skull and facial,
Open wounds of the scrotum and testis,
Cervical tuberculosis (A18.1),
Other congenital anomalies of the biliary tract,
Gallbladder necrosis without gallstones,
Surgical wounds caused by leaf or spine (W60),
"Spontaneous abortion (All unidentified, no complication)",
"Osteonecrosis due to hematopoietic disease (D50-D64), lower leg",
Ulnar artery lesion at the wrist and hand,
"People who wear animals, people on a traffically injured traffic vehicle who are injured by falls or were slipped from animals, and in a non-cycle vehicle.",
Delivery due to complete narrow pelvic stenosis,
Multiple tendon and femoral tendon injuries,
Urethral changes in diseases have been classified elsewhere,
Osteoarthritis associated with extremity paralysis or lower extremity paralysis,
accidents at up and down (V97.1),
Cerebral arteritis in infectious and other types of parasites,
Retinal pigment epithelium (H35.7),
Other identified circulatory disorders in other classification diseases,
Malignant skin tumors of the ear and external ear,
Complications after procedure or surgery  see table,
Motorbike injuries injuries injuries with a walker or animals: The drier injuries in non traffic accidents,
"Diaphragmatic hernia, no obstruction or necrosis",
Congenital anomalies of circulatory system,
Other lesions of the eyes and orbital,
+ Caused by talc or fore substance (T81.6),
"Severe cervical dysplasia, unclassified elsewhere",
"Aortic aneurysm, unidentified position, no rupture",
Neonatal aspiration of amniotic fluid and mucus,
Second-degree burn in the ank and foot,
Delivery due to presentation and other abnormalities,
Food poisoning,
"Impacted teeth are impacted teeth, without obstruction of other teeth.",
Unknown lower extremity paralysis,
Any disorder in I00 with one or more cardiac lesions,
- Nasal tuberculosis - confirming of bacteria and histology,
"Motor, excessive, and compressive bursitis (M70.-)",
Other mononeuropathy in the disease has been classified elsewhere,
Other unidentified causes of death and other non-specific identified diseases,
acquired dyslexia secondary to emotional disorder (F93.-),
Respiratory diseases in other diseases,
Hypoplasia of the aorta in hypoplastic left heart syndrome (Q23.4),
"Vaginitis, vulvitis, and vulvovaginitis in other infections and parasites classified elsewhere",
Complications of head wound,
Injured bike when crushing another injured motor: Injured drivers in non traffic accidents,
Open wounds of the cheek and temporal region of the mandible,
"Other guns and unknown, unknown measures",
Other identified diabetes mellitus (no complication),
Abrasion of 30 - 39% of body surface,
- epiglottis (upper nail bone) unknown (C32.1),
- Congenital anemia due to fetal blood loss (P61.3),
Maternal care for other abnormal pregnancy,
Unidentified type of diabetes mellitus (with renal complications),
Deficiency of other determined nutritional factors,
abuse in young children and old children (F98.3),
HIV disease leads to multiple diseases classified elsewhere,
- Thyrotoxicity with toxic nodular goiter,
Lesion sequelae classified from S82.- S92.- and T12,
Congenital metabolic disorders (E70-E90),
Victims of other identified animal effects,
Hodgkin lymphoma ( other classic),
Other specific disorders of the tympan,
"Tumors of the peripheral nerve of the lower extremities, including the hips",
"Osteonecrosis due to hematopoietic disease (D50-D64), arm",
"Acquired organ loss, unclassified elsewhere",
Other soft-tissue disorders in other classified diseases,
Pregnancy-induced eclampsia or hypertension is available,
Effects of other body regions (T00.8),
Blood alcohol level at 100 - 119mg/100ml,
Other complications of spinal and epidural anesthesia during pregnancy,
Congenital congenital syphilis without other identified after the first 2 years of life,
+ Spondylolisthesis - Nonspecific or uncombined with scoliosis,
The sequelae of central nervous system inflammation,
"Dementia in Alzheimer disease begins before age 65, with relatively rapid degeneration progression and with many marked disorders of high-grade cortical function.",
Multiple organ inflammatory syndrome with COVID-19,
"Joint disease in hypersensitivity reactions has been classified elsewhere, Many sites",
Unidentified accidents related to risk factors,
"This type of behavioral disorder usually occurs in young children, characterized primarily by brushing, nonadherence, clearly irritability, absence of clearly aggressive behavior or antisocial behavior. The disorder requires all criteria in the F91 target, even without severe distortion or antisocial behavior, which must be cautious to diagnose, and should be cautious",
Cutaneous and subcutaneous diseases,
Gallstones with acute cholecystitis,
Malignant tumors of the aortic and other lymph nodes,
"Open wounds were classified as S21.-, S31.- and T09.1",
"Lesion sequelae were classified as S22.2-S22.9, S32.1-S32.5 and S32.8",
"Medical abortion (Incomplete, causing embolic complications)",
"Grade 3 erosion, unidentified body area",
decrease atmospheric pressure when exposed from the surface:,
"Falls on and from stairs, stairs",
"Other viral hemorrhagic fever, unclassified",
High levels of emotional expression in family,
"Injured motor vehicles when crashing a motor, half-bus, or mild motor vehicle: Injured person while up or down the motor vehicle.",
"Toxicity Other antihypertensives, unclassified elsewhere",
Anemia due to glucose-6-phosphate dehydrogenase deficiency,
Traffic accidents causing damage to people,
Other problems related to self-dependence on caregivers,
"COVID-19 vaccination, unknown",
Local carcinoma of the other urinary organs and unidentified,
"Psoriatic arthritis with distal interphalangeal joint involvement (L40.5), unspecified location",
"Myositis in other infections has been classified elsewhere, the arm",
"+ traction, penetrating instruments (W25-W27)",
"Other specified mental disorders due to brain damage, brain dysfunction, and physical disorders",
Basal artery aneurysm and dissection,
Pediatric multi- organ inflammatory syndrome (PIMS) associated with COVID-19,
Hydronephrosis due to renal stones and obstructive ureter,
D80-D89 Disorders related to immune mechanisms,
b) Signs and symptoms appear at the beginning but are transient and no etiology is found.,
"Inner ear disease, other specific inner ear disease",
"Brucellosis spondylitis (A23.-), sacral and sacral regions",
Other complications of surgery and obstetric procedures,
"Lymphadenitis  chronic, any lymph nodes, except mesentery",
blunt  of or on non-motor airway models,
- Neonatal acquired pericardial fluid (P91.1),
"Joint disease in other specific diseases has been classified elsewhere, neck, and feet",
Gallstones  nonspecific or absence of cholangitis or cholecystitis,
Erythrocytosis Queyrat (quy đầu) K (D07.4),
+ Pulmonary distention - Confirmation of microbiology and histology,
People outside the construction injured in tra tra tra traffic accident,
"Toxicity Antidotes and antidotes, unclassified elsewhere",
"Dementia in Alzheimer disease begins, after age 65, usually at the last years of age 70 or later, progresses slowly and with the main feature of memory impairment.",
Lesions of other parts of the head,
Open wounds in the wrist and hand (S61.-),
Female genital fistula (N82.0-N82.1),
related to job and unemployment (Z56.-),
"People who walk on a half-bus, mild motor vehicle are injured when combing with other motor vehicle and are not identified in non-cross-cross-cross accidents",
"There is a alcohol smell in breath, a mild personality disorder in function and response or slightly difficult to regulate motion.",
"Syphilitic diverticulitis (A52.7), neck, and feet",
Osteoarthritis of the neck of the other secondary,
Hereditary palmar and foot keratoses (Q82.8),
"Infection  after infusion, blood transfusion, and injection",
+ traffic vehicle used as traffic vehicle (V01-V99),
Traumatic rupture of thoracic disc,
Training on activities of daily living [ADL] not classified elsewhere,
- primary T cell proliferation CD-30 positive (C86.6),
Class I perineal rupture in delivery,
M03 * Postinfectious arthropathy and reactive arthropathy after other diseases classified elsewhere,
Non- traffic accident identified but unknown mobility of victim,
"Several early complications of trauma, unclassified elsewhere",
"Personality disorders are characterized by suspicious feelings of suspicion, frailty, excessive attention of examination and overconcerned attention to detailed, irritability, caution, and rigidity. Persistent and uncomfortable thoughts or impulses may occur but not reach the severity as in obsessive-deficit disorder.",
Anal and rectal fissure (K60.-),
Loss of the leg on acquired knee,
Gallstones (tracted) in:  nonspecific or absent cholangitis or cholecystitis,
Mendelson syndrome due to anesthesia during pregnancy,
+ Systemic lupus erythematosus (M32.1),
Cranial defects associated with congenital brain abnormalities:,
"Arthritis and fatty skin (E78.8), neck, and feet",
- AML M3 with t(15; 17) and var,
Aerobic traffic accidents causing drowning (drowning) and flooding death: non-activated caterers,
"Drug Poisoning Central effects and nerve blockers cause adrenalin secretion, unclassified elsewhere",
Problems related to socio-economic and psychological situations (Z55-Z65),
Complications of repair of the body,
"- Other identified dotrypanosomakhông disease, the African trypanosoma infection is common",
Hypertrophy  The corpus cavernosa and penis,
Trans traffic accident injury,
"Walkingers injuries due to motor vehicle crashes 2 - 3 bánhes, not identified traffic accidents or non-traffic accidents",
Myopathies in infectious and parasitic diseases classified elsewhere,
"A chronic depressive mood lasts at least years, but is not severe enough or in which the prolonged separate episodes are not sufficient to be diagnosed as mild, moderate, or severe recurrent depressive disorder (F33.-).",
"Congenital malformations of the palate, which are not classified elsewhere",
+ Birth weight  4500g (P08.0),
Granuloma and granuloma of oral mucosa,
Female genital tract infection,
Other venous thrombosis and thrombosis,
Bleeding of other sites of the airway,
"Perineal rupture, fissure (circumferential):",
- Acanthamoeba conjunctivitis (H13.1 *),
The sequelae of unidentified infectious and parasitic infections,
"Traumatic motor vehicle crashes injuries to airport, raybike: Traumatic drivers in non-traffic accidents",
Meningitis and post-infectious myelitis (G04.8),
Facial weakness (facial weakness) due to loss of low-level motor nerve cells,
Hepatic necrosis with liver failure (K72.-),
Detection and recognizing respiratory and psychologic factors identified as risk and harmful,
+ the effect of drug (T88.7),
"Disorders include frequent repetitive bitting episodes that predominate the patient's life and damage their social, occupational, physical, and family values.",
"Gastric ulcers (acute, both hemorrhage and perforation)",
Aplastic  part of the brain,
obstruction - vomiting (reflux food),
Congenital foot and toes deficiency,
Delay in description (without reading disorders),
"Premature rupture of membranes, treated to delay labor",
Other disorders of ear and mastoid,
"Genetic kidney disease, unclassified elsewhere, Disseminated intravascular proliferative glomerulonephritis",
"Single chromosome, mosaic (not dissociated with inoculation)",
Other specific complications of labor and delivery,
+ soap  according to classification status in O00-O07,
- The dorsum of the anterior third of the tongue,
Abnormal results of pulmonary function test,
"Fetal, infants with gestational age of 42 weeks or more (294 days or more) are not severe or enlarged than gestational age.",
Esophageal varices without bleeding in other classification diseases,
Hemorrhagic bruising of fetus and neonate (P54.5),
Joint diseases in other specific diseases have been classified elsewhere,
"Other sexually transmitted infections cause complications for pregnancy, delivery, and postpartum",
"Substantial motorbike, mild motorbike injuries due to vehicle crashes, traffic crashes, traffic crashes: People outside the injured motor crashes in non-traffic accidents",
Trauma and edema of the thoracic cord,
"+ reflux  no other identifiable or identifiable cause, except for low causes.",
Delivery due to shoulder presentation,
"Toxicity caused by epilepsy, sedative-hypnotic drugs and anti- Parkison syndrome",
- T-cell-rich - Extensive large B-cell lymphoma,
"Aplasia  cartilage, epiglottis, vocal cords, larynx, thyroid cartilage",
"Inherited, unclassified, minimal glomerular abnormalities",
Congenital or in young children:  of the pylorus,
Pulmonary disease with tuberculosis in A15-A16 (J65),
Fractures of unidentified and other parts of the lumbar spine and pelvis,
Excess at other areas and unidentified viscera,
Other definitive noninflammatory changes of the cervix,
++ exposure to life-threatening conditions such as victims of the terror,
Local epithelial carcinoma of other male genitals and unidentified,
Chronic infection of the sinus (pharyngeal) (nose),
Vaginal duplication with uterus duplication and cervical duplication (Q51.1),
Tumor benign of other organs and unidentified in the thoracic,
Spondylolisthesis  Nonspecific or uncombined with scoliosis,
"Nerve injury without identified in the lower extremities, unspecified range",
The persistent predisposition is recurrence of viewing people who are sexual active or who are having sexual behaviors such as clothing. This work is conducted in which the voyeuristic person is often unknown. This behaviors usually result in sexual arousal and masturbation.,
Complications of artificial fertilization (N98.-),
Embolism  In male genital organs,
"Delayed labor due to fetal pelvic disruption, unknown",
Kich (nang) of non-specific ligament or non-specific ligament,
Superficial lesions caused by cold in the wrist and hand,
"Muscle strains, tendons of muscles and unspecified tendons",
"This disorder begins at the first five years of life and is characterized by persistent abnormalities in the child's social relationship method, associated with emotional disorders and emotional responses to changes in the surrounding environment (eg, high-grade anxiety and attention, poor social relationships with peers, self-injury and others, distress, and developmental delays that occur in some cases).",
"+ blood vessels  caused by  catheter, endoscopy, instruments, probe sticks  during surgery, procedures",
Lower extremity varicose veins during pregnancy,
"Aspiration pneumonia, gas, smoke, or volatile substances (J68.0)",
Dementia in disease (HIV) infected with human immunodeficiency virus (B22.0),
Plasmodium falciparum malaria with brain complications,
Occupational pulmonary disease caused by identified inorganic pneumoconiosis,
Uncontrolled burn exposure is not from a building or work,
Unknown syphilis causing death under 2 years of age (A50.2),
Cataracts and other lens disease in other classification diseases,
Dislocation  caused by prosthetic heart valves,
Other identified diseases of the nose and sinus,
Inadvertent poisoning and inadvertent exposure to other drugs that affect the autonomic nervous system,
L62 * Nail diseases in diseases have been classified elsewhere,
"Multiple joint dislocations, sprains, and other unidentified muscle tension (T03.9)",
Traumatic injuries of the ank and foot,
"Malignant tumors of the peripheral nerve of the trunk, nonspecific",
Exposure to other hot and hot objects and unknown,
"Multiple sleep is defined as a excessive daytime sleep state and sleep attacks (not explainable by sleep deprivation) or a transition that is excessive from awakening to a full alertness. When no pathologic factor explains the occurrence of multiple sleep is present, it is often associated with psychiatric disorders.",
+ Influenza virus infection from animals to other identified person,
"Bacteria, viruses, and other infectious agents",
Non-specific vascular lesions of the neck,
"Care related to rehabilitation method, unknown",
Intraventricular hemorrhage (nontraumatic) g 3 of the fetus and infant,
The statistical status at T82.0 caused by other bone fixator,
Trauma see vascular injuries in the body,
Other identified disorders of the nervous system in other classification disorders,
Non-specific physiologic development,
"Epididymitis, epididymitis and epididymo-orchitis with abscess",
"Food contact dermatitis (L23.6, L24.6, L25.4)",
People walking on the injured bus during contact with other objects,
Other identified artery aneurysms,
Hip deformity due to ossification in children,
Other congenital anomalies of the pancreas and pancreatic duct,
Intrauterine inflammation  Whether or not mucosal abruption,
- Immunosuppressive inflammatory syndrome [IRIS],
Pulmonary complications due to anesthesia during pregnancy,
- Toxotoxin effect of toxic food (T61-T62),
"Injuries due to bomb, bite placed during the active phase of war, if the explosion occurs after cessation of frustration",
Other cranial nerve disease in other diseases has been classified elsewhere,
Open wounds with nail lesions (S61.1),
- Tuberculosis in:  no other identification (not mentioned for bacterial and histologic confirmation),
M07 * Psoriatic arthritis and intestinal arthritis,
Acute skin changes due to ultraviolet radiation,
Natural rupture of membranes (O42.-),
"Endocrine, nutritional and metabolic diseases causing complications for pregnancy, at birth and after birth",
Problems related to job and unemployment,
Plasmodium vivax combination with other Plasmodium species except Plasmodium falciparum,
Other temporary metabolic disorders of the newborn,
Splenic rupture due to birth trauma,
Temporary thyroid dysfunction of un classified infant,
Foreign bodies with magnetic (in):,
Fetal blood loss due to vascular previa,
Intra-abdominal coagulation  According to the classification status in O00-O07,
Congenital malformation of non-specific male genitals,
Other benign tumors of connective and other soft tissue,
Injuries of breast injuries bite or trauma,
People who cưỡi animal or people who walk on an injured traffic vehicle or traffic vehicle,
Visual disturbances in other diseases,
Abnormal hematological signs in mothers detected during prenatal examination,
"Complications during pregnancy, childbirth and postpartum (O11-O15)",
Maternal care for fetal development,
Acute respiratory infection,
Human lymphocyte-like type 1 virus [HTLV.1],
"Bone tuberculosis (A18.0), lower leg",
"- Aplastic large cell lymphoma, CD30 positive",
traumatic brain compression (S06.2),
Severe drivers injury in Non-cycling traffic accident: Injury in non-cycling traffic accident,
"Maternal care related to pregnancy, amniotic fluid and possible problems during delivery",
"Genital and pelvic infections after miscarriage, ectopic pregnancy and ectopic pregnancy",
Other demyelinating disease of the central nervous system,
Neoplasms that are uncertain or unknown the nature of nonspecific male genitals,
Multiple lesions in the ank and foot,
"When a respiratory disorder occurs in many sites and is not accurately coded, it is classified by lower anatomic location (eg, tracheobronchitis in J40).",
"Other spinal subluxations, lumbar region",
Tumors are benign of the other and unclear gastrointestinal system,
Abnormal manifestations on prenatal screening (O28.-),
+ pulmonary fibrosis confirm bacteria with or without sputum culture,
"Traumatic disruption of the trunk, unknown range",
H62* External ear disease classified elsewhere,
"Complicated vascular lesions in the abdomen, lower back and pelvis",
"Substantial, mild motor vehicle drivers injuries due to a 2 or 3-filled motor vehicle crash: People outside the injured motor vehicle in non traffic accidents",
"Cutaneous joint disease (E85.-), unidentified location",
Myocarditis in infectious and other parasites classified elsewhere,
Malignant tumors of the adrenal gland,
Other diseases originate in perinatal period,
Fetal hypoxemia in uterine in labor and in delivery,
Complex superficial lesions of the shoulder and arm,
"Nephrotic syndrome, disseminated intravascular proliferative glomerulonephritis",
"Open wounds of the head, unknown part",
"Dislocations, sprains, and excessive muscle tension of the joints and ligaments of the neck area",
"+ Optic nerve (section 2) (H46, H47.0)",
Neurogenic bladder due to cauda equina syndrome (G83.4),
"Dilation, perforation, laceration or chemical causes:",
"Diverticular disease of small intestine, no perforation or abscess",
"Superficial lesions were classified from S70.-, S80.-, S90.- and T13.0",
Severe depressive episodes with no psychotic symptoms,
General health checkup of the weight-bearing forces (Z10.2),
Toxicity Resuscitation and opioid antagonists,
"Personality disorder is characterized by markedly impulsive activity and does not consider consequences; mood is normal and unpredictable; emotional and unpredictable mood may occur, and emotional and inability to control behavioral flare may occur. Patients tend to conflict or conflict with others especially when their impulsive behaviors are neglected or intermittent. Patients may be divided into two differ",
antisocial problem (F60.2),
"Lesions were classified as S41.- S51.-, S61.- and T11.1",
Toxicity Drugs affect mainly other cardiovascular systems and are unidentified,
"Arthritis in Rubella disease (B06.8), pelvic and thigh",
Walkingers injuries due to an injuries to other grasses,
People walking in injured motor vehicle in non-cross accident: A person in injured motor vehicle,
- Hyperkeratosis of the plantar and palmar (short) due to scabies,
"Injuries caused by police or law enforcement agencies, including military military, during the process of having or attempting having a legal abuse, elastic disorder, maintenance of order, and other legal actions.",
"Fractures classified from S72.-, S82.-, S92.- and T12 as bilateral.",
"Joint disease in ulcerative colitis (K51.-), neck, and feet",
"Internal abortion (Toxically unknown, causing embolism)",
"Spinal tuberculosis (A18.0), sacral and sacral region",
- Goiter (patient) - of the unknown central nervous system,
traumatic ear bleeding,
Vaccination against cholera accompanied by typhung- subtype typh,
"Injury to the ships, the component of the ships after falling or breaking from the ships",
Primary ulceration of small intestine (K63.3),
+ confirmatory test results (U07.1),
Non-specific acquired myeloid leukemia,
Benign connective and other soft tissue tumors of the upper extremity include the shoulder,
Pericarditis in infectious and other parasites classified elsewhere,
"Internal abortion (Incomplete, causing atypical complications)",
"With the effects of the chest, abdomen, lower back, pelvis (T00.8)",
With or without mention of fibular fractures,
Endocarditis and valvular disease in other classification,
- Infection and food poisoning caused by Clostridium difficile (A04.7),
Thyroid toxicity with solitary nodular goiter,
Unknown management,
Small kidney with unknown cause (N27.-),
+ due to bone deformity (Q76.3),
"Joint disease in other blood diseases (D50-D76), lower leg",
